,Title,Published_date,Views,Likes,Dislikes,Comments,Month
77,Triceps Underhand + Overhand Superset for Max growth,2020-07-01,212243,18265,0,1230,Jul
78,How to make your Shoulders Round and Big !,2020-06-30,351716,25443,0,919,Jun
79,Wide Squats Vs Regular Squats,2020-06-29,319152,23822,0,731,Jun
80,5 best Yoga Asana for Bodybuilders !!,2020-06-21,293989,24953,0,879,Jun
81,Full Body Workout with Dumbbells Only,2020-05-29,742121,42213,0,1731,May
82,Lower Back vs Upper Back Deadlifts ?,2020-05-28,216233,24699,0,700,May
83,Best Biceps Exercise at Home,2020-05-22,444123,33070,0,1489,May
84,Two BEST Back Exercise for Mass and Thickness,2020-05-21,540946,39232,0,1409,May
85,Something IMPORTANT,2020-05-15,336077,27515,0,1352,May
86,Best Diet to follow in this Lockdown Period,2020-04-23,181098,10928,0,839,Apr
87,How much protein to take during Home Workouts | QnA,2020-04-22,132173,8214,0,733,Apr
88,Strongest Muscle Building Agent,2020-03-05,124316,7002,0,626,Mar
89,How to Avoid Muscle Loss,2020-02-27,333830,15148,0,534,Feb
90,Are you FAT ? THYROID can be the reason.,2020-02-16,56264,3692,0,252,Feb
91,How to build Fibers in the CHEST,2020-02-14,829400,35586,0,757,Feb
92,How to build WIDE Back FAST (4 tips),2020-01-23,695859,32397,0,863,Jan
93,Stuck with NO BICEPS GROWTH ? Arnold's Secret is here..,2020-01-21,1441403,51783,0,817,Jan
94,Glucon D during workout to gain max Muscle ??,2020-01-15,1088524,44969,0,38,Jan
95,Aise karte hai Badmaashi !!,2019-11-29,465127,21261,0,647,Nov
96,"If you go to the GYM, watch this video",2019-11-28,139554,7438,0,689,Nov
97,What is the best workout for FAT LOSS,2019-11-19,281829,16255,0,650,Nov
98,INSTAGRAM ki Sacchayi..,2019-11-06,179400,8043,0,342,Nov
99,Beginner Arms workout Guide,2019-10-28,159474,8546,0,301,Oct
100,This Supplement is better than WHEY PROTEIN !!!,2019-10-26,383849,16010,0,966,Oct
101,Launching a NEW SUPPLEMENT snack | First in India,2019-10-07,141434,6613,0,925,Oct
102,Build your Upper Chest Thickness | This Works !!,2019-09-28,245943,11143,0,457,Sep
103,Snatch Deadlift for Back,2019-09-25,195734,10670,0,444,Sep
104,What Supplement Companies HIDE from us,2019-09-19,523008,23196,0,1410,Sep
105,Workout on Empty Stomach ??,2019-09-17,225257,13554,0,1011,Sep
106,How to get a Wider Arm from the side 💪,2019-08-14,667605,25314,0,655,Aug
107,One Exercise that puts Max Muscle on triceps,2019-08-10,223516,11721,0,360,Aug
108,How Foreign Bodybuilders get so BIG | Periodisation,2019-07-30,165051,10677,0,791,Jul
109,3 Best tips for Wider Back !!,2019-07-25,610627,30956,0,763,Jul
110,4 things you should do before Workout to get Results,2019-07-21,1474062,70534,0,1206,Jul
111,How to get Massive Calves | Real truth,2019-06-30,83646,4703,0,243,Jun
112,Best Fat loss Workout | FitMuscle TV,2019-06-12,1209637,47384,0,794,Jun
113,BIG TRAPS MOVEMENT,2019-05-29,107691,6772,0,286,May
114,"Bench Press vs Chest Fly, Which is better for muscle building ?",2019-05-23,209936,9285,0,404,May
115,Why Indians don't get as Big as Foreign Bodybuilders,2019-05-12,1201249,57043,0,2977,May
116,Best Meal Replacement for Mass in Summers !!,2019-05-08,235577,14304,0,602,May
117,Leg Workout challenge.. FitMuscleTV,2019-04-25,131076,8359,0,510,Apr
118,Bodybuilding and Hair loss | how to prevent it ?,2019-04-22,348976,13328,0,678,Apr
119,Best way to build Biceps Peak 💪,2019-04-17,796487,38888,0,959,Apr
120,Smith Machine Squat Hutiyapa,2019-04-15,254173,9088,0,474,Apr
121,Kya biceps auur triceps same day kar sakte hai ?,2019-04-06,312208,16691,0,515,Apr
122,Biggest Supplement Store in India | Original Supplements guaranteed,2019-03-28,926538,31763,0,1464,Mar
123,Complete Triceps Workout for Mass,2019-03-22,176295,12029,0,468,Mar
124,When should you wear a Supporter in the GYM ?,2019-03-20,589698,32643,0,1096,Mar
125,Full Day of Eating - Vegetarian Muscle Building,2019-02-27,569446,24007,0,1002,Feb
126,40kg Chest Workout Challenge,2019-02-25,149031,7777,0,496,Feb
127,Best and Cheapest food for vegetarians for bulking,2019-02-19,255689,11318,0,600,Feb
128,How to get Big forearms /Wrists,2019-02-12,438424,33309,0,991,Feb
129,Complete Shoulder Workout Plan in 60 seconds | FitMuscleTV,2019-01-28,143664,7247,0,378,Jan
130,Amazing Muscle Building Breakfast Recipe | FitMuscleTV,2019-01-25,1686727,65124,0,1807,Jan
131,Low Bar vs High Bar Squats | FitMuscle TV,2019-01-24,149974,8352,0,387,Jan
132,Backstage Bodybuilding Truths !!,2019-01-23,116031,7236,0,210,Jan
133,Full Day of Eating for Muscle Gain | FitMuscle TV,2019-01-23,1450289,50587,0,1658,Jan
134,Important Supplement for Vegetarians | FitMuscle TV,2019-01-16,80170,4192,0,411,Jan
135,Ultimate Chest workout for Muscle Mass ft RSR | FitMuscleTV,2019-01-01,309458,16117,0,955,Jan
136,Chest training in 60 Seconds | FitMuscle TV,2018-12-27,132086,8240,0,439,Dec
137,Oats vs Daliya ? Which Is Better For Strength | FitMuscleTV,2018-12-24,1649294,52983,0,1470,Dec
138,Top 4 Supplements for Bulking,2018-12-07,1137668,42584,0,1138,Dec
139,What causes Lower Back Pain and how to get rid of it,2018-11-27,660427,27139,0,1179,Nov
140,Black Friday Sale | Cheapest Protein of the year in India,2018-11-22,143018,5004,0,893,Nov
141,5 Quick Tips For Muscular Shoulders | FitMuscle TV,2018-11-17,107063,5868,0,529,Nov
142,The Ultimate Shoulder Workout | FitMuscle TV,2018-11-10,685149,32139,0,938,Nov
143,Biggest Expose Video In Fitness | FitMuscleTV,2018-11-05,324414,22400,0,3034,Nov
144,5 Tips To Stop Overeating | FitMuscle TV,2018-10-27,101165,6083,0,366,Oct
145,5 Muscle Building Mistakes Beginners Do | FitMuscle TV,2018-10-13,375689,24114,0,748,Oct
146,How much Whey protein should you drink in a Day | FitMuscle TV,2018-10-05,598871,28309,0,929,Oct
147,Which is the Best Whey Protein Brand? | FitMuscle TV,2018-10-02,808634,26533,0,1327,Oct
148,DTP vs FST | 7 Training Principle | FitMuscle TV,2018-09-26,125065,6531,0,452,Sep
149,Mr Olympia 2018 Phil Heath vs Shawn Rhoden,2018-09-16,289635,7643,0,637,Sep
150,What To Eat Before Morning Workout | FitMuscle TV,2018-09-13,1257009,44297,0,1241,Sep
151,Should You Train Abs While Bulking ? | FitMuscle TV,2018-09-11,188338,9105,0,429,Sep
152,"New Trend in Fitness, Dangerous | FitMuscle TV",2018-09-08,199590,10299,0,775,Sep
153,Rice Vs Roti | FitMuscle TV,2018-09-03,112703,5264,0,360,Sep
154,A Fitness Youtuber Gave Me Injections | FitMuscleTV,2018-08-25,225513,16076,0,0,Aug
155,Why Professionals Cannot Workout Without AMP ?? | FitMuscle TV,2018-08-22,194589,10008,0,1396,Aug
156,Avoid These 5 Diet Mistakes | FitMuscleTV,2018-08-11,151828,8197,0,509,Aug
157,Having Fun with Tarun Gill in Mumbai | FitMuscleTV,2018-08-05,262817,9819,0,2266,Aug
158,Do We Really Need To Eat Carbs ?? Final Answer | FitMuscle TV,2018-07-25,277501,18886,0,3537,Jul
159,Complete Beginner Chest Workout | FitMuscle TV,2018-07-21,275697,16349,0,912,Jul
160,How I Got Biceps Peaks | Best Exercise | FitMuscleTV,2018-07-04,185020,12265,0,1450,Jul
161,How Many Sets To Do For Maximum Muscle Growth | FitMuscle TV,2018-06-30,603992,32502,0,1394,Jun
162,How Does Masturbation Affects Your Fitness | Truth | FitMuscleTV,2018-06-23,3779574,193468,0,7286,Jun
163,How to correct Muscle Imbalance QnA.,2018-06-21,72113,4470,0,382,Jun
164,Did this for 7 Days and the Results Were Amazing | FitMuscle TV,2018-06-18,181202,10264,0,580,Jun
165,Final Truth about BCAA + Supplement Giveaway | FitMuscleTV,2018-06-12,444820,23958,0,6712,Jun
166,How Many Mangoes To Eat In A Day For Fat Loss | FitMuscleTV,2018-06-06,169274,9044,0,542,Jun
167,How To Build Monster Traps | FitMuscleTV,2018-05-29,223264,13668,0,777,May
168,Why I deleted my Video | Bahut ho gaya..,2018-05-25,535666,26539,0,2567,May
169,Best Dumbell Exercise You Are NOT Doing | FitMuscle TV,2018-05-13,112245,5950,0,311,May
170,Cooking Chicken For Jeet Selal - FitMuscle TV,2018-05-03,1645405,70794,0,1647,May
171,No Supplements Needed for a Six Pack Abs Transformation | FitMuscle TV,2018-05-01,266897,8391,0,493,May
172,"LIVE with Jeet Selal, chest and biceps",2018-04-28,153172,12565,0,627,Apr
173,3 Healthy Tea Time  Snack Recipes | FitMuscle TV,2018-04-22,378307,20352,0,791,Apr
174,Do Not Copy Others in the Gym -  Shoulders Hutiyapa | FitMuscle TV,2018-04-17,194289,10558,0,898,Apr
175,Leg Extensions Hutiyapa - FitMuscle TV,2018-04-12,176350,12894,0,950,Apr
176,Best Diet Tips For Vegetarians For Gaining - FitMuscle TV,2018-04-07,231048,12536,0,576,Apr
177,Mr India 2018 Sunit Jadhav vs Ram Niwas. Final Comparison for Tittle.,2018-04-01,267820,10539,0,458,Apr
178,Did Dexter Jackson Insert Synthol in his Biceps ?? | FitMuscle TV,2018-03-30,878878,32949,0,654,Mar
179,TreadMill Hutiyapa + Fit Leauge Update | FitMuscle TV,2018-03-25,123108,6001,0,653,Mar
180,HUTIYAAPA in the Gym | FitMuscle TV,2018-03-20,197214,12288,0,879,Mar
181,Fastest Way To Lose Body Fat | FitMuscle TV,2018-03-17,2208318,96096,0,1549,Mar
182,The bench Press Tip NO ONE Talks About..,2018-03-12,192407,10307,0,560,Mar
183,Reg Park's Original 5X5 Workout Program | FitMuscle TV,2018-03-08,179929,7607,0,678,Mar
184,Why 73% Indian urban men have Man Boobs ? (gynecomastia),2018-02-28,321556,12467,0,1041,Feb
185,Wrong Warmup can Ruin your Entire Workout,2018-02-18,250058,18364,0,1136,Feb
186,Benefits of Keeping your Feet Up.,2018-02-15,110596,7071,0,370,Feb
187,Do Not Train These Muscles Together,2018-02-04,909558,44720,0,1004,Feb
188,"Avoid Eating These 5 ""Health Food""",2018-01-24,703272,35402,0,1486,Jan
189,Superset vs Dropset,2018-01-17,274690,15303,0,628,Jan
190,Whey Protein vs Blend Protein,2018-01-11,174793,7623,0,517,Jan
191,High Protein Bagrry's Muesli -Review,2018-01-06,154310,4892,0,314,Jan
192,"Banana's after workout, Yes or No ??",2018-01-03,391781,21194,0,825,Jan
193,Worst Exercise for Biceps. FMT concept,2017-12-31,203650,14611,0,1800,Dec
194,Best Testosterone boosting stack. all from chemist shop,2017-12-27,563011,35476,0,963,Dec
195,MuscleBlaze final review. YES or NO ?,2017-12-23,950193,37091,0,1774,Dec
196,Biggest Leg Press accident- Real Reason Behind it.,2017-12-17,550068,23452,0,647,Dec
197,CAUTION : Only for weak/ lagging bodypart,2017-12-16,103758,6996,0,249,Dec
198,She checked my WhatsApp Messages | My Last VLOG,2017-12-10,3372647,115235,0,2219,Dec
199,Incline pushups vs Decline Pushups,2017-12-09,88657,3806,0,180,Dec
200,"I will be on Mr Olympia 2018 stage, Promise to all Indians: Amit Roy",2017-12-08,257968,7976,0,850,Dec
201,Get Crazy Vascularity in Rs 0 (NO CLICKBAITS),2017-12-05,474691,33337,0,1224,Dec
202,How can he get IFBB pro card without US passport ??,2017-12-04,283478,10313,0,406,Dec
203,[VLOG] Baba RamDev Ki Jai | Week 08 Part 01,2017-12-03,746046,21298,0,857,Dec
204,The Boring Vlog | Week 7 part 2,2017-12-02,321424,9009,0,276,Dec
205,I Did This Exercise for 7 Days and Gained 1 inch BICEPS. Guaranteed,2017-12-01,636893,40818,0,2439,Dec
206,"Dumbest advice on ""How to remove CHEST FAT""",2017-11-30,2763805,94070,0,1574,Nov
207,[VLOG] Why is she always irritated ?? | Phase 4 starts | Week 07 part 01,2017-11-28,444050,11799,0,370,Nov
208,He Fainted in the gym While doing Shoulder Press,2017-11-27,6642268,100663,0,2652,Nov
209,[VLOG] How I got  ALL FREE meals at 5 star Hotel | Week 06 Part 2,2017-11-26,181201,5190,0,153,Nov
210,[VLOG] When I decided to QUIT YOUTUBE | Week 06 Part 01,2017-11-25,257567,7771,0,428,Nov
211,Some Pre-Workouts STOP Fat Loss. Are you taking it ?,2017-11-22,212058,7440,0,469,Nov
212,Only About 100 people in INDIA know this TECHNIQUE,2017-11-19,294295,17232,0,873,Nov
213,Brown Rice vs White Rice,2017-11-17,899289,40533,0,1950,Nov
214,EXCLUSIVE LuiMarco Interview | What started bubble gut,2017-11-15,29264,1264,0,116,Nov
215,6 Reps vs 12 Reps,2017-11-12,613114,39117,0,2618,Nov
216,RIP Bodybuilder from Mangalore dies on stage at Bodybuilding Contest,2017-11-11,4151946,141271,0,4092,Nov
217,How did RICH PIANA die ??,2017-11-09,609952,21412,0,503,Nov
218,GYM SHOES- A Movie,2017-11-09,131763,4840,0,338,Nov
219,Add this to your WHEY and fully Digest all the Protein in it.,2017-11-08,451620,18722,0,1009,Nov
220,This ONE capsule a day will help you put on Serious Muscle Mass,2017-11-07,1545479,56618,0,2088,Nov
221,[VLOG] Naked Cake Cutting | Birthday in CANADA,2017-11-05,549471,16863,0,438,Nov
222,[Vlog] Life of an Airline Pilot | Week 05 | Part 2,2017-11-04,584468,12195,0,500,Nov
223,Interview with Kevin Levrone and many More @ IHFF Mr Olympia,2017-11-03,1112249,31191,0,775,Nov
224,[VLOG] My stupid way to Impress Girls| Phase 03 starts |Week 05 Part 01,2017-10-30,145020,4311,0,213,Oct
225,[vlog] She Secretly Watches Other You-Tubers | Week 04| Part 2,2017-10-28,1123100,25909,0,639,Oct
226,R.I.P Vinod Kumar,2017-10-24,173756,5983,0,421,Oct
227,Gaurav Taneja   Exclusive interview With Mijaaj,2017-10-24,50139,1696,0,138,Oct
228,Real Politics Behind Amateur Olympia India,2017-10-21,170564,7053,0,429,Oct
229,[VLOG] IHFF expo | Amateur Olympia India,2017-10-19,121585,5364,0,238,Oct
230,[VLOG]  Dancing After a Cheat Meal | Week 04 starts| Part A,2017-10-18,352938,10796,0,498,Oct
231,[VLOG] I can cook better than her | week 3| part 2,2017-10-17,653758,14557,0,574,Oct
232,[Vlog] New Supplements added | Week 03| phase 02,2017-10-15,171543,6037,0,312,Oct
233,[Vlog] Getting Strong and Lean | Week 02,2017-10-14,177492,5129,0,230,Oct
234,[Vlog] When I Tried to keep a Karva Chauth Fast ??,2017-10-13,687113,31959,0,1339,Oct
235,I Accept My Mistake,2017-10-12,234887,10751,0,633,Oct
236,3 STUPID Exercises we do at the gym,2017-10-12,1350265,54698,0,2614,Oct
237,[Vlog] Lost 1.2 kg's in Week 1,2017-10-11,561865,12307,0,418,Oct
238,"[Vlog] My Muscleblaze Transformation |Phase 01, Week 01 (tue-sun)",2017-10-10,104217,2725,0,244,Oct
239,[VLOG] My Muscleblaze Transformation | Phase 01 Week 01,2017-10-09,503769,11318,0,410,Oct
240,Big Ramy has a bubble gut too.,2017-10-08,56705,1311,0,257,Oct
241,Indian Supplement | 8 WEEKS NATURAL TRANSFORMATION Vlog Series,2017-10-07,314819,13939,0,894,Oct
242,DORIAN was RIGHT,2017-10-06,121529,4984,0,203,Oct
243,Why I will Never do a Full Deadlift Again,2017-10-04,168957,6975,0,461,Oct
244,EXCLUSIVE | Is KAI GREENE Coming Up with his TV REALITY SHOW ??,2017-10-01,250201,12343,0,292,Oct
245,[VLOG] Delhi to Toronto in Boeing 787 Dreamliner,2017-09-30,1744507,41089,0,1661,Sep
246,My Delicious Muscle Building Breakfast | Must try,2017-09-29,195856,7870,0,464,Sep
247,[VLOG] Mr Olympia 2017 Expo | Las Vegas | Day 01,2017-09-27,774572,29039,0,1074,Sep
248,Why BIG RAMY Lost 2017 Mr Olympia,2017-09-18,327524,4629,0,442,Sep
249,Big Ramy Vs Phil Heath | Mr Olympia 2017,2017-09-17,131143,1688,0,192,Sep
250,"[VLOG] Mr Olympia 2017, Toronto to Las vegas",2017-09-16,127631,4266,0,173,Sep
251,Mr Olympia LIVE,2017-09-16,114413,3167,0,176,Sep
252,BIG RAMY will NOT win Mr Olympia 2017,2017-09-14,72684,1553,0,271,Sep
253,NEW Flat Dumbbell Chest Press,2017-09-05,404644,16748,0,600,Sep
254,[VLOG] 4000 calorie Sunday Cheat Meal | DELHI,2017-09-03,1372162,35536,0,1084,Sep
255,Why Creatine is a MUST on a Cutting/Keto Diet. The Real Science.,2017-09-02,358123,18920,0,1123,Sep
256,Hardcore BACK and SHOULDER Workout With Sheru Aangrish,2017-08-31,84828,2110,0,153,Aug
257,Do Guys Like Implants or Natural ??,2017-08-28,433014,21251,0,784,Aug
258,RIP Rich Piana 1971-2017. Sad week for Bodybuilding.,2017-08-25,345249,5174,0,755,Aug
259,[vlog] ONLY FATS..Dubai,2017-08-25,512842,19999,0,1157,Aug
260,RIP Dallas Mccarver. Olympia level Bodybuilder Dies,2017-08-22,130817,3094,0,341,Aug
261,Biggest Bodybuilding Show in India Sheru Classic17 | IHFF Mr Amateur Olympia,2017-08-21,135012,5156,0,325,Aug
262,He lost his TESTICLE While SQUATTING !! OMG,2017-08-19,1950667,81781,0,5469,Aug
263,"You Can Not Get Ripped even on Cycle, Why - Part 2",2017-08-18,563526,15969,0,492,Aug
264,[VLOG] Avoid These 6 FAT LOSS / CUTTING Mistakes | Part 01,2017-08-16,2106694,66485,0,1642,Aug
265,AVOID THESE 3 BIGGEST BULKING MISTAKES. PUT ON NEW MUSCLE,2017-08-14,773644,37028,0,1123,Aug
266,"I QUIT, My Problem With MUSCLEBLAZE WHEY GOLD PROTEIN",2017-08-12,833946,16802,0,1759,Aug
267,[vlog] FIRST TIME EVER ON YOUTUBE. AM I NATURAL? TRANSFORMATION UPDATE,2017-08-10,520232,16386,0,947,Aug
268,"[VLOG] I GOT A NEW JOB, Muscle Food",2017-08-08,240702,9060,0,183,Aug
269,HOW SUPPLEMENT COMPANIES FAKE A PROTEIN LAB TEST,2017-08-06,123878,6364,0,624,Aug
270,[VLOG] I TOOK THE CHALLENGE,2017-08-04,217151,7810,0,682,Aug
271,WE ARE MATURE TO SEE BIKINI ON STAGE -MEET DEPAALI,2017-08-03,426837,13905,0,420,Aug
272,[VLOG].. I FAILED,2017-08-01,1298476,45999,0,930,Aug
273,KAI GREENE'S trainer GEORGE FARAH's SHOCKING MUSCLE BUILDING TRICK.,2017-07-30,262955,10248,0,504,Jul
274,This Simple Trick EXPLODED my BICEPS to Growth,2017-07-29,1560702,49579,0,1238,Jul
275,"MUMBAI MEETUP ft Suhas Kamkar, Junaid Kaliwala, Manoj Patil, Siddhant Jaiswal, Jinni Shaikh",2017-07-27,91725,3362,0,234,Jul
276,[VLOG] WHEN I GOT INTERVIEWED by JUNAID KALIWALA,2017-07-25,412707,14112,0,415,Jul
277,OPTIMUM NUTRITION EXPOSED | IS 'ON' CHEATING YOU ??,2017-07-23,1860254,59666,0,3081,Jul
278,[VLOG] FLYING KAI GREENE #Fit2Fly MUMBAI TO BENGALURU,2017-07-21,2263079,87368,0,2594,Jul
279,FREE MUSCLE BUILDING DIET PLAN FOR VEGETARIANS (PART 02),2017-07-20,235282,10472,0,654,Jul
280,WHY VEGETARIANS DON'T BUILD MUSCLE EASILY.  MUST WATCH,2017-07-19,189565,7671,0,776,Jul
281,HOW FIT ARE YOU ? The MURGA Challenge,2017-07-18,238032,8711,0,238,Jul
282,COMPLETE BACK WORKOUT FOR MASS with MUSCLEMANIA PRO ATHLETE,2017-07-16,684816,18031,0,372,Jul
283,VLOG | INDIAN SUPPLEMENT STACK I BOUGHT FOR MY NATURAL TRANSFORMATION,2017-07-15,402941,12421,0,787,Jul
284,X-REP . THE ULTIMATE INTENSITY BREAKER,2017-07-13,53748,2597,0,159,Jul
285,MY BODYBUILDING MOTIVATION | MY STORY | IIT KHARAGPUR | COLLEGE DAYS,2017-07-12,629910,21937,0,704,Jul
286,NEW BICEPS EXERCISE FOR ADDING MASS/ INCHES TO YOUR ARM,2017-07-11,139116,4323,0,207,Jul
287,SHAME ON US !!,2017-07-09,105209,8202,0,965,Jul
288,5 MOST INSANE PRE WORKOUTS IN THE MARKET,2017-07-07,445196,9607,0,620,Jul
289,WHICH IS THE BEST INDIAN SUPPLEMENT BRAND FOR RESULTS [CLOSED],2017-07-06,638639,12646,0,1663,Jul
290,COMPLETE LEAN MUSCLE BUILDING PROGRAMME  |WORKOUT + DIET,2017-07-05,533725,19312,0,705,Jul
291,HOW DO PRO ATHLETES GET BELOW 4% BODYFAT,2017-07-02,170165,6681,0,237,Jul
292,SUPPLEMENT SHOPPING and CHEAT MEAL | DUBAI VLOG,2017-06-30,979785,24408,0,1002,Jun
293,FULL DAY OF EATING FOR LEAN BULK,2017-06-28,1078937,27055,0,734,Jun
294,"FULL DAY OF WORK, DIET and WORKOUT | VLOG",2017-06-24,252641,7317,0,433,Jun
295,ACHIEVE PEAK CONTRACTION FOR MAX GROWTH IN TRICEPS,2017-06-22,349372,18082,0,581,Jun
296,ZERO CARB MASH POTATOES RECIEPE | PERFECT FOR KETO,2017-06-20,61509,2416,0,303,Jun
297,MY FIRST COMPETITION | IMPORTANT ANNOUNCEMENT,2017-06-18,2993719,110219,0,1509,Jun
298,MY FIRST YOUTUBE MEETUP,2017-06-16,85621,3756,0,244,Jun
299,TRUTH ABOUT FAKE BCAA,2017-06-13,1294389,23856,0,811,Jun
